#1	
double	T_HTF_inlet(2502,2)
7136602.930	67.38
7136612.930	67.38
7136622.881	67.35
7136632.931	67.34
7136642.882	67.34
7136652.932	67.32
7136662.932	67.29
7136672.883	67.27
7136682.883	67.25
7136692.884	67.25
7136702.884	67.23
7136712.885	67.22
7136722.885	67.20
7136732.885	67.19
7136742.936	67.18
7136752.936	67.17
7136762.937	67.14
7136772.887	67.14
7136782.938	67.13
7136792.888	67.12
7136802.938	67.12
7136812.939	67.12
7136822.889	67.14
7136832.890	67.16
7136842.890	67.20
7136852.891	67.23
7136862.891	67.27
7136872.891	67.28
7136882.942	67.32
7136892.892	67.32
7136902.893	67.32
7136912.943	67.32
7136922.944	67.31
7136932.944	67.29
7136942.894	67.29
7136952.895	67.29
7136962.945	67.27
7136972.946	67.27
7136982.896	67.24
7136992.897	67.24
7137002.947	67.24
7137012.947	67.23
7137022.948	67.20
7137032.898	67.19
7137042.899	67.18
7137052.899	67.16
7137062.900	67.15
7137072.900	67.14
7137082.950	67.11
7137092.901	67.10
7137102.951	67.11
7137112.902	67.09
7137122.952	67.07
7137132.953	67.05
7137142.903	67.04
7137152.903	67.03
7137162.954	67.01
7137172.904	67.00
7137182.955	67.00
7137192.905	67.00
7137202.956	67.00
7137212.956	67.02
7137222.956	67.05
7137232.957	67.06
7137242.907	67.11
7137252.958	67.13
7137262.958	67.15
7137272.959	67.18
7137282.909	67.20
7137292.959	67.22
7137302.910	67.22
7137312.910	67.24
7137322.961	67.23
7137332.911	67.23
7137342.912	67.23
7137352.962	67.21
7137362.962	67.21
7137372.913	67.19
7137382.963	67.16
7137392.964	67.15
7137402.964	67.14
7137412.965	67.13
7137422.915	67.11
7137432.965	67.10
7137442.916	67.09
7137452.966	67.07
7137462.967	67.06
7137472.967	67.04
7137482.918	67.04
7137492.918	67.03
7137502.968	67.01
7137512.969	67.00
7137522.919	66.98
7137532.970	66.99
7137542.920	66.98
7137552.921	66.96
7137562.971	66.96
7137572.921	66.95
7137582.922	66.98
7137592.922	66.99
7137602.923	67.02
7137612.923	67.05
7137622.924	67.09
7137632.924	67.13
