#1			
float	DNI_THTFin_vdot(1779,4)		
7132652.761	1.1	297.19	0
7132662.761	1.1	297.19	0
7132672.762	1.1	297.19	0
7132682.712	1.2	297.2	0
7132692.713	1.1	297.19	0
7132702.763	1.2	297.18	0
7132712.763	1.1	297.19	0
7132722.714	1.2	297.18	0
7132732.764	1.2	297.19	0
7132742.765	1.1	297.18	0
7132752.765	1.2	297.18	0
7132762.766	1.2	297.17	0
7132772.766	1.2	297.18	0
7132782.766	1.1	297.17	0
7132792.767	1.2	297.17	0
7132802.767	1.2	297.17	0
7132812.768	1.1	297.17	0
7132822.768	1.2	297.16	0
7132832.719	1.2	297.18	0
7132842.719	1.1	297.16	0
7132852.769	1.1	297.17	0
7132862.72	1.2	297.17	0
7132872.77	1.2	297.17	0
7132882.771	1.2	297.16	0
7132892.721	1.2	297.17	0
7132902.772	1.1	297.16	0
7132912.772	1.2	297.16	0
7132922.722	1.2	297.16	0
7132932.723	1.2	297.14	0
7132942.773	1.2	297.14	0
7132952.724	1.2	297.14	0
7132962.774	1.2	297.13	0
7132972.775	1.2	297.13	0
7132982.775	1.1	297.14	0
7132992.725	1.2	297.13	0
7133002.776	1.2	297.13	0
7133012.776	1.2	297.13	0
7133022.777	1.2	296.93	0
7133032.777	1.1	296.74	0
7133042.778	1.2	297.11	0
7133052.728	1.1	297.72	0
7133062.778	1.2	298.01	0
7133072.779	1.2	298.35	0
7133082.779	1.2	298.76	0
